University,Rank13,Rank14,R11-R12,D2/ R11,E2^2,,ABS,ABS/ R11
Massachusetts Institute of Technology (MIT),1,1,0,0,0,,0,0
Harvard University,2,4,-2,-1,1,,2,1
University of Cambridge,3,2,1,0.3333333333,0.1111111111,,1,0.3333333333
UCL (University College London),4,5,-1,-0.25,0.0625,,1,0.25
Imperial College London,5,2,3,0.6,0.36,,3,0.6
University of Oxford,6,5,1,0.1666666667,0.0277777778,,1,0.1666666667
Stanford University,7,7,0,0,0,,0,0
Yale University,8,10,-2,-0.25,0.0625,,2,0.25
University of Chicago,9,11,-2,-0.2222222222,0.049382716,,2,0.2222222222
California Institute of Technology (Caltech),10,8,2,0.2,0.04,,2,0.2
Princeton University,10,9,1,0.1,0.01,,1,0.1
ETH Zurich - Swiss Federal Institute of Technology,12,12,0,0,0,,0,0
University of Pennsylvania,13,13,0,0,0,,0,0
Columbia University,14,14,0,0,0,,0,0
Cornell University,15,19,-4,-0.2666666667,0.0711111111,,4,0.2666666667
Johns Hopkins University,16,14,2,0.125,0.015625,,2,0.125
The University of Edinburgh,17,17,0,0,0,,0,0
University of Toronto,17,20,-3,-0.1764705882,0.0311418685,,3,0.1764705882
Kings College London,19,16,3,0.1578947368,0.0249307479,,3,0.1578947368
EPFL (Ecole Polytechnique Fédérale de Lausanne),19,17,2,0.1052631579,0.0110803324,,2,0.1052631579
McGill University,21,21,0,0,0,,0,0
University of Michigan,22,23,-1,-0.0454545455,0.0020661157,,1,0.0454545455
Duke University,23,25,-2,-0.0869565217,0.0075614367,,2,0.0869565217
National University of Singapore (NUS),24,22,2,0.0833333333,0.0069444444,,2,0.0833333333
"University of California, Berkeley (UCB)",25,27,-2,-0.08,0.0064,,2,0.08
The University of Hong Kong,26,28,-2,-0.0769230769,0.0059171598,,2,0.0769230769
The Australian National University,27,25,2,0.0740740741,0.0054869684,,2,0.0740740741
"Ecole normale supérieure, Paris",28,24,4,0.1428571429,0.0204081633,,4,0.1428571429
Northwestern University,29,34,-5,-0.1724137931,0.0297265161,,5,0.1724137931
University of Bristol,30,29,1,0.0333333333,0.0011111111,,1,0.0333333333
The University of Melbourne,31,33,-2,-0.064516129,0.0041623309,,2,0.064516129
The University of Tokyo,32,31,1,0.03125,0.0009765625,,1,0.03125
The University of Manchester,33,30,3,0.0909090909,0.0082644628,,3,0.0909090909
The Hong Kong University of Science and Technology,34,40,-6,-0.1764705882,0.0311418685,,6,0.1764705882
Seoul National University,35,31,4,0.1142857143,0.0130612245,,4,0.1142857143
Kyoto University,35,36,-1,-0.0285714286,0.0008163265,,1,0.0285714286
University of Wisconsin-Madison,37,41,-4,-0.1081081081,0.011687363,,4,0.1081081081
The University of Sydney,38,37,1,0.0263157895,0.0006925208,,1,0.0263157895
The Chinese University of Hong Kong (CUHK),39,46,-7,-0.1794871795,0.0322156476,,7,0.1794871795
"University of California, Los Angeles (UCLA)",40,37,3,0.075,0.005625,,3,0.075
Ecole Polytechnique,41,35,6,0.1463414634,0.0214158239,,6,0.1463414634
"Nanyang Technological University, Singapore (NTU)",41,39,2,0.0487804878,0.002379536,,2,0.0487804878
The University of Queensland,43,43,0,0,0,,0,0
New York University (NYU),44,41,3,0.0681818182,0.0046487603,,3,0.0681818182
University of Copenhagen,45,45,0,0,0,,0,0
Peking University,46,57,-11,-0.2391304348,0.0571833648,,11,0.2391304348
Brown University,47,52,-5,-0.1063829787,0.0113173382,,5,0.1063829787
Tsinghua University,48,47,1,0.0208333333,0.0004340278,,1,0.0208333333
University of British Columbia,49,43,6,0.1224489796,0.0149937526,,6,0.1224489796
Ruprecht-Karls-Universitaet Heidelberg,50,49,1,0.02,0.0004,,1,0.02
University of Glasgow,51,55,-4,-0.0784313725,0.0061514802,,4,0.0784313725
The University of New South Wales (UNSW Australia),52,48,4,0.0769230769,0.0059171598,,4,0.0769230769
Technische Universität München,53,54,-1,-0.0188679245,0.0003559986,,1,0.0188679245
"University of North Carolina, Chapel Hill",54,62,-8,-0.1481481481,0.0219478738,,8,0.1481481481
Osaka University,55,55,0,0,0,,0,0
