University,# RANK2017,OVERALL SCORE-17,Academic Reputation-17,Employer Reputation-17,Faculty Student-17,Citations per Faculty-17,International Faculty-17,International Students-17
Massachusetts Institute of Technology (MIT),1,100,100,100,100,99.9,100,96.6
Stanford University,2,98.7,100,100,100,99.7,99.7,74
Harvard University,3,98.3,100,100,98.5,100,100,70.4
University of Cambridge,4,97.2,100,100,100,86.5,97.6,97.8
California Institute of Technology (Caltech),5,96.9,99.4,80.7,100,100,91.2,87.7
University of Oxford,6,96.8,100,100,100,83.6,98.7,98.2
UCL (University College London),7,95.6,99.8,99.3,98.7,79.1,99.1,100
ETH Zurich - Swiss Federal Institute of Technology,8,94.2,99.6,98.9,73.3,98.3,100,98.8
Imperial College London,9,94.1,99.6,100,100,69.8,100,100
University of Chicago,10,93,99.9,94.1,95.4,88.7,66.5,70.5
Princeton University,11,92.8,100,97.9,81.8,100,65.3,68.7
National University of Singapore (NUS),12,91.5,100,100,88.1,70.9,100,90.8
"Nanyang Technological University, Singapore (NTU)",13,91.4,91.6,94.1,94,83.6,100,93.9
Ecole Polytechnique Fédérale de Lausanne (EPFL),14,91.1,82.1,93.5,93.9,99.1,100,100
Yale University,15,90.9,100,99.9,100,65.2,91.1,65
Cornell University,16,90.1,99.6,94,68.9,95.9,91.6,66
Johns Hopkins University,17,89.3,94.8,64.7,100,81.8,98.1,69.7
University of Pennsylvania,18,89,97.4,96.5,100,72.9,51.1,64.2
The University of Edinburgh,19,88.9,99.2,95,87.6,61.7,95.3,99.1
Columbia University,20,88.6,99.9,99.2,100,60.5,37.8,93.7
King's College London,21,87.7,91.8,91.1,88.2,71.2,97.6,99.3
The Australian National University,22,87.3,99.1,89.6,56.5,86.9,100,96.3
University of Michigan,23,86.4,99.6,89.6,86.7,71.7,80.8,37.9
Tsinghua University,24,86,99,99.2,85.6,79.5,43.3,28.1
Duke University,24,86,94,78.3,99.2,86,,56.7
Northwestern University,26,85.7,90.2,76.7,94.3,94.4,33.4,51.7
The University of Hong Kong,27,85.4,98.9,93.8,84,47.3,100,99.3
"University of California, Berkeley (UCB)",28,85.2,100,99.9,31.4,99.8,98.1,79.2
The University of Manchester,29,84.8,97.9,99.7,76.9,53.5,90.1,98.6
McGill University,30,84.1,97.3,93.7,68.8,63.1,90.9,95.2
"University of California, Los Angeles (UCLA)",31,84,100,99.6,61.6,87.6,34.1,50.7
University of Toronto,32,83.8,99.8,92.8,74.5,50,97.2,93.1
"Ecole normale supérieure, Paris",33,82.9,82.1,71.8,76.6,100,84.5,65.1
The University of Tokyo,34,82.6,100,99.6,92.2,64.4,,
Seoul National University,35,82.1,98.5,96.1,82.1,72.9,26,
The Hong Kong University of Science and Technology,36,81.8,91.1,86,45.7,87.5,100,98.7
Kyoto University,37,81.7,99.7,92.6,95.3,60.3,,
London School of Economics and Political Science (LSE),37,81.7,88.8,100,57.1,72.3,100,100
Peking University,39,81.3,99.8,99.8,66.4,64.8,53.6,49.6
"University of California, San Diego (UCSD)",40,80.6,95.9,62.8,64.9,92.1,52.9,39.1
University of Bristol,41,79.6,85.5,94.8,73.8,62.7,88.8,82.4
The University of Melbourne,42,79.5,99.7,99.2,27.5,75.1,82.6,99.3
Fudan University,43,79.4,90.8,95.3,65.6,73.9,66.7,46.5
The Chinese University of Hong Kong (CUHK),44,78.1,92.4,82,65.9,53.4,99.5,79.9
University of British Columbia,45,78,99.1,95.5,38.1,66.8,87.2,68.3
The University of Sydney,46,77.9,99.1,98.1,25.7,67.1,99.8,94.9
New York University (NYU),46,77.9,97.3,96.2,95,28.3,,82.4
KAIST - Korea Advanced Institute of Science & Technology,46,77.9,85.5,83,69.2,99.9,23.5,
The University of New South Wales (UNSW Sydney),49,77.8,95.3,98.7,,77.1,100,95.2
Brown University,49,77.8,73.5,68.3,78.2,95.5,69,66.7
The University of Queensland,51,77.6,93.4,82.7,33.1,79.9,100,84.6
The University of Warwick,51,77.6,83.9,98.9,62.9,58.2,96,99
University of Wisconsin-Madison,53,75.7,94.5,55.5,84.2,56.4,52.7,33.1
Ecole Polytechnique,53,75.7,62.7,99.6,99.4,56,96.9,90.9
City University of Hong Kong,55,75.4,64.8,43.9,83,91.4,100,98.4
Tokyo Institute of Technology,56,74.9,82.7,77.4,90.4,67.5,25.3,26.3
University of Amsterdam,57,74.3,91.4,77.5,42.8,80.2,72.4,35.3
Carnegie Mellon University,58,74.2,83.8,81.4,35.1,94.1,32.2,99.8
University of Washington,59,73.9,91.8,52.8,45.7,92,40.6,47.5
Technical University of Munich,60,72.4,85,97.6,86.4,28.9,53.7,57
Shanghai Jiao Tong University,61,72.2,87.1,95.7,37.3,80.1,71,
Delft University of Technology,62,72.1,75.6,86.9,28.3,94.2,96.5,74.8
Osaka University,63,71.7,88.6,68.2,83.1,57,,
University of Glasgow,63,71.7,80,63,61.6,57.6,91.2,96.9
Monash University,65,71.6,91.8,93.1,,64.2,100,96.4
University of Illinois at Urbana-Champaign,66,71.4,95.1,62.2,,93.8,35.3,71.2
University of Texas at Austin,67,70.7,97.5,82.9,,96.1,,22.6
Ludwig-Maximilians-Universität München,68,70.2,96.1,83.5,43.6,49.3,58.6,39
National Taiwan University (NTU),68,70.2,95.7,68.9,36,80.7,,
University of Copenhagen,68,70.2,81.9,64.8,100,25,86,31.3
Georgia Institute of Technology,71,69.8,76.1,78,48.8,86,,87.5
Ruprecht-Karls-Universitaet Heidelberg,72,69.7,90.1,70.5,69.7,36.4,48.4,59.5
Lund University,73,69.1,82,78.8,49.3,51.7,89.1,73.3
Durham University,74,68.8,64.9,95.7,30.7,89.5,94,87.6
Tohoku University,75,68.7,78.7,57.5,97.9,52.3,,
The University of Nottingham,75,68.7,71.4,91.3,59,50.7,90.3,87.9
University of St Andrews,77,68.2,54.3,58.4,73,79.2,98.2,99.9
"University of North Carolina, Chapel Hill",78,68.1,76.9,44.8,77.1,74.7,34.2,
KU Leuven,79,67.9,87.4,71.6,,89.4,83.7,41.3
University of Zurich,80,67.8,68.6,69.3,95.8,29.9,100,62.2
The University of Auckland,81,67.3,90.1,85.8,,50,86.5,89.5
University of Birmingham,82,67.2,73.9,88.7,49.3,50.1,90.3,84.3
Pohang University of Science And Technology (POSTECH),83,67,47,57.3,99.5,100,44.5,
The University of Sheffield,84,66.9,70.3,66.2,62.7,52,84.8,97.1
Universidad de Buenos Aires (UBA),85,65.8,92.8,98.9,65.2,,46.4,58.4
"University of California, Davis",85,65.8,80.6,49.9,25.6,88.7,65.5,47.6
University of Southampton,87,65.6,63.3,48.2,72.8,56.2,93.3,96
The Ohio State University,88,65.4,75.5,52,77.2,40.1,81.3,48.1
