UNIVERSITY,OVERALL SCORE-15,Academic Reputation-15,Employer Reputation-15,Faculty Student-15,International Faculty-15,International Students-15,Citations per Faculty-15,# RANK  2015
Massachusetts Institute of Technology (MIT),100,100,100,100,100,95.5,100,1
Harvard University,98.7,100,100,98.6,99.9,76,100,2
University of Cambridge,98.6,100,100,100,96.2,96.6,93.7,3
Stanford University,98.6,100,100,99.5,97.6,72.8,99.9,3
California Institute of Technology (Caltech),97.9,99.8,89.6,100,90.2,85.2,100,5
University of Oxford,97.7,100,100,100,97.8,96.6,88.9,6
UCL (University College London),97.2,99.9,99.8,98.6,95.5,99.9,88,7
Imperial College London,96.1,99.9,100,99.9,100,100,79.6,8
ETH Zurich - Swiss Federal Institute of Technology,95.5,99.9,99,78.6,100,98,98.8,9
University of Chicago,94.6,99.9,96.3,93.8,73.4,81.6,91.5,10
Princeton University,94.4,100,98.5,92.9,47.2,68.2,100,11
National University of Singapore (NUS),94.2,100,100,92.9,100,92.5,78.9,12
"Nanyang Technological University, Singapore (NTU)",93.9,95.3,97.5,94.2,100,94,86.5,13
Ecole Polytechnique Fédérale de Lausanne (EPFL),93.8,89.1,93.6,93.6,100,100,99.3,14
Yale University,92.2,100,100,100,89.9,65.5,71.3,15
Johns Hopkins University,91.9,97.2,74,100,96.6,71.2,84.9,16
Cornell University,91.8,99.9,96.7,73.9,90.2,66,97.1,17
University of Pennsylvania,91.5,98.8,97.4,100,52.9,66.6,80.5,18
King's College London,91,95.2,95.9,89.9,95.4,98.2,77.5,19
The Australian National University,91,99.6,94.4,68.9,100,96.7,89.4,19
The University of Edinburgh,90.8,99.7,98,85.3,93.1,97.9,71.5,21
Columbia University,89.7,100,99.4,100,33,89.8,67,22
"Ecole normale supérieure, Paris",89.2,89.6,78.9,91.9,55.6,82.6,100,23
McGill University,88.6,99.1,94.7,80.8,88.3,92.3,70.4,24
Tsinghua University,88.5,99.6,99.5,87.5,47.8,36.1,84.2,25
"University of California, Berkeley (UCB)",88.4,100,99.9,46.9,96.8,79.3,99.9,26
